GAP REGISTER — items missing or unaccounted-for in the booklet,,,,,,,,,,
Fill the three right-hand columns (shaded). Dropdown in 'Dev Decision'.,,,,,,,,,,
#,Est. ID(s),Item / Feature,Component,Est. Call,Booklet status (architect finding),Severity,Architect recommendation,DEV DECISION ▼,Destination (sprint / V2 / N/A),Dev note / justification
13,B-53 / B-23,Message moderation: LLM classifier -> regex,2.5/2.10,IN,"Booklet uses regex off-platform detection (S5), not Gemini-Flash LLM classifier.",MEDIUM,"Confirm intent. Regex misses coded variants ('zero four one two', unicode, 'find me on the gram'). Add evasion corpus; reframe AIE-004 as regex-coverage.",,,
14,AP-53,Super User Dashboard: 24-tile -> simpler KPI,3.12 Admin,IN,"Booklet = KPI overview + system-health panel (S9), simpler than 24-tile spec.",LOW,Accept. Present in spirit; full tile set can follow.,,,
15,AP-51,Automated reports: full suite -> daily reconciliation,3.11 Admin,IN,Booklet details daily reconciliation; weekly/monthly not enumerated.,LOW,Confirm weekly/monthly still in. Crons cheap to add.,,,
16,AP-04(KYC),KYC: manual identity review -> Stripe Connect handles all,1.2/3.2,IN,Identity verification fully delegated to Stripe Connect. Manual identity queue eliminated (items 21/22 gone).,MEDIUM,Accept (clean resolution). Verify Connect verification states correctly gate bidding/payout — now the sole identity trust-gate.,,,
17,AI-04,Output guardrails: general validator -> mediator cost-guard only,6. AI Infra,IN,Only mediator has explicit cost guardrails (S7). No general output-validation layer across AI surfaces.,MEDIUM,"Reinstate validators. Extraction/vision/support outputs need schema + safety validation, not just cost caps.",,,
18,B-51,Prompt injection defense + PII scrubbing,2.10,IN,Partial — 'security review skill' + implied PII scrubbing; no explicit injection-defense feature across AI surfaces.,MEDIUM,"Make explicit. Every AI surface (extraction, mediation, support, NL) needs injection hardening + PII scrub tests.",,,
19,206,Deep linking (Universal/App Links),1.18 Cross-cut,IN,Implied by S11 polish + S3 share-link; not individually listed.,LOW,Confirm built. Needed for share links + notification taps.,,,
20,216,Crash reporting (Sentry SDK),1.18 Cross-cut,IN,App Insights mentioned (S10) for backend; client crash SDK not explicit.,LOW,Confirm client crash capture present.,,,
21,223,Push token rotation,1.18 Cross-cut,IN,Notifications built S8; token rotation not explicit.,LOW,Confirm handled.,,,
22,210 / 211,Maintenance mode screen / offline indicator,1.18 Cross-cut,THIN/IN,Not individually listed; 'status page (thin)' S10 only.,LOW,Confirm or defer.,,,
23,218,Accessibility basics (WCAG 2.1 AA) mobile,1.18 Cross-cut,THIN,Web a11y absent (no web); mobile a11y not explicitly called out.,MEDIUM,Confirm mobile a11y in scope. Compliance-adjacent.,,,
24,B-19/AP-44,Webhook DLQ + admin replay viewer,2.4/3.9,IN,Stripe webhook signature verification present (S5); explicit DLQ + admin replay viewer not enumerated.,MEDIUM,Confirm DLQ + replay exist. Payment reliability depends on it; PAY-020..023 tests require it.,,,
25,AP-45,BullMQ job-queue monitor,3.9 Admin,IN,Queue/cron infra implied; admin queue monitor not listed.,LOW,Confirm or defer.,,,
26,M-229,Device fingerprinting (FingerprintJS),1.19 Security,IN,Not mentioned; relevant to fraud signals (which are also thin).,MEDIUM,Confirm. Ties to fraud-scoring gap B-48.,,,
27,AP-46/52(audit),Immutable audit log + audit viewer,2.10/3.9,IN,Audit log present S1; immutability + viewer good. Confirm append-only enforced at DB.,LOW,Confirm immutability (no UPDATE/DELETE as app role). ADM-052 test asserts this.,,,
28,B-58,Data retention enforcement (all classes),2.10,IN,"Anonymisation 'within retention rules' (S8). Confirm per-class crons (financial 7y, threads 7y, analytics 2y).",LOW,"Confirm per-class retention, not just account deletion.",,,
