"JOBBees — Feature Estimation  ·  Edit ""Call"" column → totals update automatically",,,,,,
ID,Component,Section,Feature / Screen,Call,Hours,Architect Notes
33,1. Mobile App,1.3 Profile — Poster,Public profile view (limited fields),IN,2,"Taskers see poster's first name, verified badges, member since."
34,1. Mobile App,1.3 Profile — Poster,"Verification badges (email, phone, ID)",THIN,1,Visual trust signals on poster profile.
35,1. Mobile App,1.4 Profile — Tasker,Profile setup wizard (multi-step),IN,5,"Photo upload, map picker, skills multi-select + triggers embedding generation."
36,1. Mobile App,1.4 Profile — Tasker,Bio / about me,IN,1,Free-text bio. Feeds directly into tasker's AI embedding vector for matching.
37,1. Mobile App,1.4 Profile — Tasker,Skills selection (categories + tags),IN,3,Updates must trigger embedding refresh job.
38,1. Mobile App,1.4 Profile — Tasker,Service areas (suburb / radius picker),IN,3,Tasker defines which suburbs they serve. Hard filter in matching engine.
39,1. Mobile App,1.4 Profile — Tasker,Hourly rate / minimum task fee,IN,1,Sets tasker's price floor. Shown on public profile.
40,1. Mobile App,1.4 Profile — Tasker,Profile photo + cover image upload,IN,2,Profile photo is critical for trust.
41,1. Mobile App,1.4 Profile — Tasker,Certifications / licences upload,THIN,2,Simplified storage + display only at MVP.
42,1. Mobile App,1.4 Profile — Tasker,Availability — weekly recurring,DROP,0,Removed per direction.
43,1. Mobile App,1.4 Profile — Tasker,Availability — calendar with blackout dates,DROP,0,Removed per direction.
44,1. Mobile App,1.4 Profile — Tasker,Stripe Connect onboarding entry,IN,2,P0-04. Entry point to Stripe-hosted payout setup. Separate from KYC.
45,1. Mobile App,1.4 Profile — Tasker,Held funds banner (until Connect complete),IN,2,P0-04. 'You have $X waiting' — primary conversion driver.
46,1. Mobile App,1.4 Profile — Tasker,Connect reminder cadence (24h / 72h / 7d),IN,2,Escalating urgency over 7 days.
47,1. Mobile App,1.4 Profile — Tasker,Public tasker profile (visible to posters),IN,3,"Primary hiring decision screen. Photo, bio, skills, rating, badges."
48,1. Mobile App,1.4 Profile — Tasker,Portfolio / previous work photos,POST,2,Post-launch. Strong conversion driver for trades — add once core profile is stable.
49,1. Mobile App,1.4 Profile — Tasker,Reviews received display,IN,2,Blind-reveal design prevents retaliatory reviews.
50,1. Mobile App,1.4 Profile — Tasker,Completion stats / badges,THIN,1,"Simplified display of tasks completed, completion rate."
51,1. Mobile App,1.4 Profile — Tasker,Tasker reputation score,THIN,1,Computed trust_score — feeds matching ranker.
52,1. Mobile App,1.4 Profile — Tasker,Response-to-review display on profile,POST,1,Post-launch. Tasker's one-time public reply to a review.
53,1. Mobile App,1.5 Task Posting,Category picker,IN,2,Manual category selection as fallback/supplement to AI extraction.
54,1. Mobile App,1.5 Task Posting,Title + description (free text),IN,1,Text fallback for users who don't use voice.
55,1. Mobile App,1.5 Task Posting,AI extraction confirmation screen,IN,4,Shows AI-structured fields for poster to confirm/edit before publishing.
56,1. Mobile App,1.5 Task Posting,Multi-turn clarifying questions (ReAct loop),IN,8,Mobile UI for clarifying questions — fires only when AI extraction confidence is below threshold. Requires clarifying agent BE (ID 248) to be live first. Max 3 follow-up questions per task.
57,1. Mobile App,1.5 Task Posting,Photo upload (multi-photo),IN,3,Posters attach photos to describe the task.
58,1. Mobile App,1.5 Task Posting,Voice-driven task posting,IN,10,Core differentiator. Mic → transcription API call → AI extraction → confirmation screen. Transcription is a single endpoint; UI reuses extraction confirmation (ID 55).
59,1. Mobile App,1.5 Task Posting,Camera-based task creation (vision model),IN,6,Mobile wrapper only — camera capture + image upload + pass to BE (ID 249). All vision logic is in ID 249. Feature-flagged; only activated once ID 249 is validated in production.
60,1. Mobile App,1.5 Task Posting,Location / address picker (map + autocomplete),IN,5,Google Places autocomplete + drag-pin. Produces lat/lng for matching engine.
61,1. Mobile App,1.5 Task Posting,Map preview,IN,2,Confirms selected task location before posting.
62,1. Mobile App,1.5 Task Posting,Date / time picker,IN,2,"Selected date triggers payment mode logic: ≤7d = Mode 1, >7d = Mode 2."
63,1. Mobile App,1.5 Task Posting,Duration estimate (AI-suggested),IN,1,AI suggests duration from task description.
64,1. Mobile App,1.5 Task Posting,Budget input,IN,1,Poster's budget cap. Shown to taskers when bidding.
65,1. Mobile App,1.5 Task Posting,Budget AI nudge (LLM verbal),THIN,1,"LLM suggests typical price range. Framed as advice, not a gate."
66,1. Mobile App,1.5 Task Posting,Special requirements / preferences,IN,1,Free-text field for extra requirements.
67,1. Mobile App,1.5 Task Posting,Review & publish,IN,2,Final confirmation screen before task goes live.
68,1. Mobile App,1.5 Task Posting,Save as draft,IN,2,Poster can save incomplete task for later.
69,1. Mobile App,1.5 Task Posting,Resume draft from list,IN,1,Draft task list screen. Tap to resume.
70,1. Mobile App,1.5 Task Posting,Re-post / clone task,THIN,1,Duplicate a past task. Useful for recurring work.
71,1. Mobile App,1.5 Task Posting,Schedule task within 7 days,IN,1,Standard Mode 1 payment: card authorised immediately.
72,1. Mobile App,1.5 Task Posting,Schedule task >7 days in future,IN,3,Triggers Mode 2 (SetupIntent) — avoids Stripe 7-day auth expiry.
73,1. Mobile App,1.5 Task Posting,Recurring task,DROP,0,Removed per direction.
74,1. Mobile App,1.5 Task Posting,Edit posted task (before bid accepted),THIN,2,Simplified edit — notifies existing bidders of changes.
75,1. Mobile App,1.5 Task Posting,Cancel/delete posted task,IN,1,Remove a task before any bid is accepted.
76,1. Mobile App,1.6 Task Discovery,Home feed (ranked),IN★,6,AI-ranked personalised task feed. Matching engine must be live first.
77,1. Mobile App,1.6 Task Discovery,Vector-based semantic matching UI,IN★,2,'Tasks matched for you' section. Backend renders ranked list; mobile displays.
78,1. Mobile App,1.6 Task Discovery,Map view of nearby tasks,IN,3,Geo-based task browse. Pins on map.
79,1. Mobile App,1.6 Task Discovery,List view of tasks,IN,3,Scrollable task cards. Default view for most taskers.
80,1. Mobile App,1.6 Task Discovery,"Filters (category, budget, distance, date)",IN,4,Narrows the task feed. Applied on top of ranked results.
81,1. Mobile App,1.6 Task Discovery,"Sort (newest, nearest, highest budget)",IN,1,Alternative sort overrides the default relevance ranking.
82,1. Mobile App,1.6 Task Discovery,Saved tasks / favourites,THIN,2,Simple local + server persistence.
83,1. Mobile App,1.6 Task Discovery,Auto-invite push handling,IN★,2,Handles push when backend auto-invites top taskers to zero-bid task.
84,1. Mobile App,1.6 Task Discovery,Task search bar (text query),THIN,2,Simplified keyword search.
85,1. Mobile App,1.6 Task Discovery,Task share link (deep link),IN,1,Share a task URL that deep-links into the app.
86,1. Mobile App,1.6 Task Discovery,Hide / not interested,THIN,1,Tasker dismisses a task from their feed.
87,1. Mobile App,1.7 Bidding,"Bid placement screen (amount, message, ETA)",IN,3,AI moderation on message. Bid caps enforced by trust tier. Show warning banner if tasker has not completed Stripe Connect setup.
88,1. Mobile App,1.7 Bidding,Bid AI coaching nudge,POST,8,Post-launch — needs real conversion data before nudges are useful.
89,1. Mobile App,1.7 Bidding,"Own bids list (active, accepted, declined)",IN,3,Tasker's bid dashboard. Status-filtered tabs.
90,1. Mobile App,1.7 Bidding,Edit own bid,IN,2,Tasker can revise bid amount or message before acceptance.
91,1. Mobile App,1.7 Bidding,Withdraw own bid,IN,1,Tasker removes their bid. Simple state change.
92,1. Mobile App,1.7 Bidding,"Bid review (poster — list, sort, filter)",IN,4,"Sort by price, rating, response time. Tap to view full tasker profile."
93,1. Mobile App,1.7 Bidding,Accept bid,IN,2,Triggers payment authorisation + notifies tasker.
94,1. Mobile App,1.7 Bidding,Decline bid,IN,1,Manually decline a specific bid. Notifies tasker.
95,1. Mobile App,1.7 Bidding,Counter-offer / negotiation,DROP,0,Removed — replaced by public Q&A (#96).
96,1. Mobile App,1.7 Bidding,Public Q&A under task,IN,6,Any tasker can ask; poster answers publicly. AI moderation on both.
97,1. Mobile App,1.7 Bidding,Bid expiry handling,IN,1,Bids auto-expire when task closes.
98,1. Mobile App,1.7 Bidding,Bid notifications handling,IN,1,In-app handling of new-bid push for poster; accepted/declined push for tasker.
99,1. Mobile App,1.8 Job Execution,Accepted task / job-in-progress screen,IN,3,"Central screen for active job. Status buttons, contact options, proof upload."
100,1. Mobile App,1.8 Job Execution,Status update buttons (en route / arrived / in progress / completed),IN,2,Each status triggers backend events and poster notifications.
101,1. Mobile App,1.8 Job Execution,Geofenced check-in / arrival proof,IN,4,P0-06. GPS verifies tasker within 200–500m of task location on 'arrived'.
102,1. Mobile App,1.8 Job Execution,Live location share during active job (opt-in),POST,5,Post-launch. Real-time GPS share via WebSocket. Background location permission required.
103,1. Mobile App,1.8 Job Execution,Completion proof upload (2 photos + checklist),IN,4,P0-07. Mandatory before marking complete. Photos must have valid EXIF timestamp.
104,1. Mobile App,1.8 Job Execution,Completion proof — optional 30s video,THIN,3,Optional video proof. Simplified — upload and store only.
105,1. Mobile App,1.8 Job Execution,Time tracking (start / stop / total),THIN,2,Optional timer. Informational only — doesn't auto-adjust payment.
106,1. Mobile App,1.8 Job Execution,Job extension / reschedule request,DROP,0,Removed per direction.
107,1. Mobile App,1.8 Job Execution,In-app voice/video call,DROP,0,Removed per direction.
108,1. Mobile App,1.8 Job Execution,Mid-job message to poster,IN,0,Via messaging threads (§1.9). No separate implementation needed.
109,1. Mobile App,1.9 Messaging,Inbox / thread list,IN,3,Task-scoped design — no open user-to-user messaging.
110,1. Mobile App,1.9 Messaging,Conversation view (text),IN,4,Real-time via Socket.IO. Every outgoing message passes AI moderation.
111,1. Mobile App,1.9 Messaging,Photo attachment,IN,2,Stored in Azure Blob; URL in message payload.
112,1. Mobile App,1.9 Messaging,File / PDF attachment,THIN,2,Simplified file attachment.
113,1. Mobile App,1.9 Messaging,Voice messages,DROP,0,Removed per direction.
114,1. Mobile App,1.9 Messaging,Message reactions (emoji),DROP,0,Removed per direction.
115,1. Mobile App,1.9 Messaging,Read receipts,IN,2,Delivered / seen ticks. Important for dispute evidence.
116,1. Mobile App,1.9 Messaging,Typing indicators,DROP,0,Removed per direction.
117,1. Mobile App,1.9 Messaging,Mute thread,DROP,0,Removed per direction.
118,1. Mobile App,1.9 Messaging,Archive thread,DROP,0,Removed per direction.
119,1. Mobile App,1.9 Messaging,Pin thread,DROP,0,Removed per direction.
120,1. Mobile App,1.9 Messaging,Report user / message,IN,2,Flags content for admin review. Triggers fraud graph signal.
121,1. Mobile App,1.9 Messaging,Block user,IN,1,Prevents contact from specific user.
122,1. Mobile App,1.9 Messaging,Off-platform contact warning banner,IN,1,AI classifier detects phone/email/payment in messages; shows inline warning.
123,1. Mobile App,1.9 Messaging,Message search,IN,4,Search across message history. Backend search query; mobile renders results.
124,1. Mobile App,1.9 Messaging,Push notifications for messages,IN,1,New message push via FCM/APNS.
125,1. Mobile App,1.9 Messaging,Thread freeze on dispute open,IN,1,Thread goes read-only when dispute filed. Preserves evidence.
126,1. Mobile App,1.10 Payments,Add card (Stripe Elements),IN,3,Stripe Elements drop-in. PCI-compliant; we store only a PaymentMethod ID. Shares component with ID 30.
127,1. Mobile App,1.10 Payments,Remove / update card,IN,1,Cannot delete a card attached to an active payment authorisation.
128,1. Mobile App,1.10 Payments,Set default card,IN,1,Updates default_payment_method_id in our DB.
129,1. Mobile App,1.10 Payments,Apple Pay / Google Pay,IN,1,Toggle in Stripe dashboard. Minimal UI.
130,1. Mobile App,1.10 Payments,Stripe-hosted onboarding webview,IN,1,Stripe Connect Express hosted flow. (partially estimated in ID-44)
131,1. Mobile App,1.10 Payments,Payout history (tasker),IN,3,List of past payouts. Sourced from Stripe Connect payouts API.
132,1. Mobile App,1.10 Payments,Earnings summary (tasker),IN,4,"Total earnings, pending, and paid out. Date range picker (custom start/end). Downloadable as CSV or PDF — generated server-side and emailed/linked to tasker."
133,1. Mobile App,1.10 Payments,Transaction history (poster),IN,3,List of all payments made as a poster.
134,1. Mobile App,1.10 Payments,Receipt PDF view / download,IN,1,In-app view and download of receipt PDFs.
135,1. Mobile App,1.10 Payments,Tax invoice PDF (poster),IN,1,P0-05. GST-compliant tax invoice auto-sent on completion.
136,1. Mobile App,1.10 Payments,Tax invoice / RCTI PDF (tasker),IN,1,P0-05. RCTI = Recipient Created Tax Invoice.
137,1. Mobile App,1.10 Payments,RCTI agreement screen,IN,2,P0-05. One-time consent screen. Immutable — survives account deletion.
138,1. Mobile App,1.10 Payments,Refund request (poster initiates),IN,3,Triggers refund workflow. Routes to dispute flow if within window.
139,1. Mobile App,1.10 Payments,Re-authorisation prompt (capture-expiry),IN,4,P0-03. Stripe auth expires in 7 days. BullMQ fires at T-6d.
140,1. Mobile App,1.10 Payments,Tip / gratuity option,THIN,1,Optional tip after completion. Fixed amounts or custom.
141,1. Mobile App,1.10 Payments,Promo code / discount input,IN,5,Validated before PaymentIntent creation. Per-user limits needed.
142,1. Mobile App,1.11 Cancellation,Cancellation flow with fee preview,IN,6,P0-06. Fee matrix shown before confirming. Matrix in Configuration Engine.
143,1. Mobile App,1.11 Cancellation,Poster-initiated cancel,IN,1,Cancellation fee applies based on timing.
144,1. Mobile App,1.11 Cancellation,Tasker-initiated cancel,IN,1,Penalty to reputation score + refund to poster.
145,1. Mobile App,1.11 Cancellation,Mutual cancellation request,THIN,2,Either party proposes mutual cancel; other must accept. No fee.
146,1. Mobile App,1.11 Cancellation,Reason picker,IN,1,Structured reason selection. Feeds analytics.
147,1. Mobile App,1.11 Cancellation,Fee disclosure / confirmation step,IN,1,Shows exact fee before final cancel confirmation.
148,1. Mobile App,1.11 Cancellation,No-show reporting,IN,3,P0-06. Geofence data used to verify. Auto-refund + reputation penalty.
149,1. Mobile App,1.11 Cancellation,Cancellation history (per task),THIN,1,Simplified log of cancellations on a task.
150,1. Mobile App,1.12 Reviews,Post-completion review prompt (both sides),IN,2,Prompted after task completes. Blind mechanism kicks in.
151,1. Mobile App,1.12 Reviews,Star rating,IN,1,1–5 star rating input. Feeds trust_score computation.
152,1. Mobile App,1.12 Reviews,Text review with min length,IN,1,Min character count enforced — prevents empty reviews.
153,1. Mobile App,1.12 Reviews,Blind review with timeout-reveal,IN,2,Neither party sees review until both submit or 14-day timeout (Blueprint §16).
154,1. Mobile App,1.12 Reviews,Photo attachment in review,THIN,2,Poster can attach before/after photo to review.
155,1. Mobile App,1.12 Reviews,"Response to review (one-time, public)",THIN,1,Tasker can reply once to a review — publicly visible. One-time limit.
156,1. Mobile App,1.12 Reviews,Edit / delete own review (within window),DROP,0,"Removed — show review after both submitted, no edit window."
157,1. Mobile App,1.12 Reviews,Report review,IN,1,Flag abusive or fake reviews for admin moderation.
158,1. Mobile App,1.13 Disputes,Dispute initiation flow,IN,3,Structured entry: reason + description + evidence. Freezes payment + thread.
159,1. Mobile App,1.13 Disputes,Reason picker,IN,1,Structured reason categories. Helps AI mediator classify dispute type.
160,1. Mobile App,1.13 Disputes,"Evidence upload (photos, screenshots)",IN,3,Both parties upload supporting evidence. EXIF metadata validated.
161,1. Mobile App,1.13 Disputes,Dispute conversation thread,IN,3,Separate communication channel during dispute (job thread is frozen).
162,1. Mobile App,1.13 Disputes,AI-proposed resolution screen,IN★,3,Tier-0 AI mediator (Claude Sonnet) proposes resolution. Targets 50–70% deflection.
163,1. Mobile App,1.13 Disputes,Accept AI proposal,IN★,1,Executes Stripe payment action immediately. Must be idempotent.
164,1. Mobile App,1.13 Disputes,Reject / escalate to human admin,IN★,1,Routes to Tier-1 admin with AI-generated brief.
165,1. Mobile App,1.13 Disputes,Dispute status tracker,IN,2,Progress indicator: filed → AI reviewing → proposal → resolved.
166,1. Mobile App,1.13 Disputes,Resolution outcome screen,IN,2,Shows final outcome + payment action taken.
167,1. Mobile App,1.13 Disputes,Dispute history (per user),THIN,1,Simplified log of user's past disputes.
168,1. Mobile App,1.14 Notifications,Push notifications (FCM / APNS setup),IN,4,Core infrastructure. Device token registered at login.
169,1. Mobile App,1.14 Notifications,In-app notification centre,IN,4,Bell icon feed of all events. Fallback for missed push.
170,1. Mobile App,1.14 Notifications,Per-channel toggle (push / email / SMS),THIN,2,Australian Spam Act compliance. Transactional notifications cannot be disabled.
171,1. Mobile App,1.14 Notifications,Per-category granular prefs,DROP,0,Removed per direction.
172,1. Mobile App,1.14 Notifications,Email opt-out unsubscribe link,IN,1,Spam Act legal requirement on all marketing emails.
173,1. Mobile App,1.14 Notifications,SMS opt-out (STOP keyword),IN,1,Spam Act requirement.
174,1. Mobile App,1.14 Notifications,Notification badges,IN,1,App icon badge count. Clears on opening notification centre.
175,1. Mobile App,1.14 Notifications,Deep-link from notification → screen,IN,2,Tap on push → lands directly on relevant screen. Requires Universal Links.
176,1. Mobile App,1.14 Notifications,Critical-state SMS/email fallback,IN,1,Backend sends SMS/email for critical events as push backup.
177,1. Mobile App,1.14 Notifications,Notification history / replay,THIN,2,Simplified — view and re-read past notifications.
178,1. Mobile App,1.15 Settings,Account info edit,IN,2,"Edit name, bio, photo. Standard settings form."
179,1. Mobile App,1.15 Settings,Change email (re-auth required),IN,3,Requires fresh auth before change. Sends verification to new email.
180,1. Mobile App,1.15 Settings,Change phone (re-auth required),IN,3,Re-auth + OTP verification to new number.
181,1. Mobile App,1.15 Settings,Change password,IN,2,Requires current password confirmation. Invalidates all other sessions.
182,1. Mobile App,1.15 Settings,2FA for users,POST,8,Post-launch. English MVP only.
183,1. Mobile App,1.15 Settings,"Linked accounts (Google, Apple) — view + unlink",DROP,0,Removed per direction.
184,1. Mobile App,1.15 Settings,Notification preferences,THIN,2,Folded with §1.14 per-channel toggles.
185,1. Mobile App,1.15 Settings,Privacy / data download (DSR),IN,3,P0-08. Australian Privacy Act APP 12 compliance.
186,1. Mobile App,1.15 Settings,Account deletion request,IN,3,P0-08. Triggers anonymisation pipeline. Blocked if active tasks exist.
187,1. Mobile App,1.15 Settings,Language switcher,POST,6,English-only at MVP.
188,1. Mobile App,1.15 Settings,Theme — light only at MVP,IN,4,Architecture uses theme tokens so dark themes can be added later.
189,1. Mobile App,1.15 Settings,Logout from all devices,THIN,1,Revokes all JWT sessions. Security feature.
190,1. Mobile App,1.16 Support,FAQ section (searchable),IN,4,Content embedded in pgvector to power RAG support agent (#194).
191,1. Mobile App,1.16 Support,FAQ article view,IN,2,Article detail screen. Supports rich text + images.
192,1. Mobile App,1.16 Support,Help categories,IN,1,Organised categories for FAQ navigation.
193,1. Mobile App,1.16 Support,Contact support (email form),IN,2,Fallback escalation. Creates ticket in admin queue.
194,1. Mobile App,1.16 Support,RAG support agent (chat),IN,14,AI chat using Claude Haiku + pgvector. Targets 60–80% L1 deflection.
195,1. Mobile App,1.16 Support,Report a bug / feedback form,THIN,2,Simplified in-app bug report. Attaches device info automatically.
196,1. Mobile App,1.16 Support,App version / build info,IN,1,Required for CS to identify which version a user is on.
197,1. Mobile App,1.16 Support,Send logs to support,THIN,2,Sends device logs to CS for hard-to-reproduce issues.
198,1. Mobile App,1.17 Static / Legal,Terms of Service,IN,1,Static screen. Must be authored by legal counsel before launch.
199,1. Mobile App,1.17 Static / Legal,Privacy Policy,IN,1,P0-08. Must cover APP 1–13 under Australian Privacy Act.
200,1. Mobile App,1.17 Static / Legal,Community guidelines,IN,1,Acceptable use policy. Referenced by moderation and dispute flows.
201,1. Mobile App,1.17 Static / Legal,RCTI agreement,IN,1,Legal text for the RCTI consent. Must be reviewed by Australian tax lawyer.
202,1. Mobile App,1.17 Static / Legal,Cancellation policy,IN,1,Explains fee matrix in plain language.
203,1. Mobile App,1.17 Static / Legal,Open source licences,IN,1,App Store / Play Store requirement.
204,1. Mobile App,1.17 Static / Legal,About page,IN,1,Company info + mission statement.
205,1. Mobile App,1.17 Static / Legal,Contact / company info,IN,1,"ACN/ABN, registered address. Required for Australian Consumer Law compliance."
206,1. Mobile App,1.18 Cross-cutting,Deep linking (Universal Links / App Links),IN,3,jobbees.com.au/task/abc opens in app. Required for Stripe Connect return URL.
207,1. Mobile App,1.18 Cross-cutting,Share task / profile (system share sheet),IN,2,Native OS share sheet.
208,1. Mobile App,1.18 Cross-cutting,Invite friend / referral code,DROP,0,Removed per direction.
209,1. Mobile App,1.18 Cross-cutting,App update prompt (soft / force),IN,2,Soft prompt for optional updates; force prompt when minimum version enforced.
210,1. Mobile App,1.18 Cross-cutting,Maintenance mode screen,THIN,1,Full-screen message when backend is in maintenance.
211,1. Mobile App,1.18 Cross-cutting,Offline indicator,THIN,2,Simplified banner when device has no internet.
212,1. Mobile App,1.18 Cross-cutting,Offline draft persistence (tasks only),POST,3,"Post-launch. Task drafts saved locally when offline, synced on reconnect."
213,1. Mobile App,1.18 Cross-cutting,Empty states,IN,3,Illustrated empty state screens for all lists. Critical for new user experience.
214,1. Mobile App,1.18 Cross-cutting,Error boundary screens,IN,2,Catch unhandled errors and show friendly screen with retry.
215,1. Mobile App,1.18 Cross-cutting,Network retry / loader UX,IN,2,Loading skeletons + automatic retry on network timeout.
216,1. Mobile App,1.18 Cross-cutting,Crash reporting (Sentry SDK),IN,2,Real-time crash visibility. Must scrub PII from crash reports.
217,1. Mobile App,1.18 Cross-cutting,Analytics events (PostHog / Mixpanel),IN,3,Event taxonomy for funnel analysis. Pseudonymous user_id — no PII in events.
218,1. Mobile App,1.18 Cross-cutting,Accessibility — basics (WCAG 2.1 AA),THIN,4,Minimum compliance. Full audit post-launch.
219,1. Mobile App,1.18 Cross-cutting,RTL text support (Arabic),DROP,0,Removed per direction — English-only MVP.
220,1. Mobile App,1.18 Cross-cutting,Background tasks (location during active job),IN,3,iOS/Android background location for live tracking.
221,1. Mobile App,1.18 Cross-cutting,App lifecycle handling (background / foreground),IN,2,"Refreshes feed, reconnects WebSocket on foreground."
222,1. Mobile App,1.18 Cross-cutting,Biometric prompt on payment / sensitive action,POST,2,Post-launch. Optional biometric confirmation before high-value payment actions.
223,1. Mobile App,1.18 Cross-cutting,Push token rotation,IN,2,Refreshes FCM/APNS device token on reinstall or device change.
224,1. Mobile App,1.18 Cross-cutting,Universal link verification setup,IN,2,apple-app-site-association + assetlinks.json files.
225,1. Mobile App,1.18 Cross-cutting,"App icon, splash, launch animation",IN,2,Brand assets integrated into Flutter build config.
226,1. Mobile App,1.18 Cross-cutting,App Store / Play Store listings + screenshots,IN,4,"Store metadata, screenshots, descriptions. ~1 week before launch."
227,1. Mobile App,1.18 Cross-cutting,App Tracking Transparency prompt (iOS),IN,1,Required by Apple for any analytics that tracks users.
M-228,1. Mobile App,1.19 Security & Trust Extras,AI Welcome Agent (onboarding walkthrough),IN,4,Blueprint §18. Conversational AI agent on first login. Tasker and poster see different journeys. Claude Haiku. Skippable.
M-229,1. Mobile App,1.19 Security & Trust Extras,Device fingerprinting at signup (FingerprintJS),IN,3,Blueprint §37. FingerprintJS Pro. Feeds fraud graph. Detects multi-account devices.
M-230,1. Mobile App,1.19 Security & Trust Extras,"Versioned consent capture (ToS, Privacy, marketing)",IN,4,Blueprint §4. Separate timestamped records in user_consent_log per ToS version.
M-231,1. Mobile App,1.19 Security & Trust Extras,Account lockout after failed OTP / auth attempts,IN,2,Blueprint §4. 5 failed OTP/hour → lockout. 10 failed passwords → forced re-auth.
M-232,1. Mobile App,1.19 Security & Trust Extras,Offline draft queue for messages (SQLite),POST,4,Post-launch. Flutter drift (SQLite) queues messages offline. Idempotency keys on drain.
M-233,1. Mobile App,1.10 Payments,Annual income statement download,IN,2,[MDR §5.2] ATO requirement. Screen lists available income statements by financial year. Tap to download PDF generated by B-55 batch job. Required for contractor tax returns.
M-234,1. Mobile App,1.5 Task Posting,Supply soft-block + waitlist signup,IN,4,"[MDR §5.3] Shown when geographic supply check returns zero eligible contractors for task location + category. Options: (1) expand radius, (2) join waitlist — captures email + task type + suburb. Clear messaging: 'We'll notify you when a tasker becomes available nearby.' Backend supply check in B-59."
228,2.1-2.2 Backend,2.1 Auth & Users,User CRUD endpoints,IN,6,"Core user management API. Create, read, update, deactivate."
